name,class,level,power,price,date
Rockafella,arbalist,141,337061,950,2025-06-22
Sapo Renatao,warrior,151,383088,2200,2025-06-22
ZaiHongse,arbalist,141,315088,595,2025-06-22
TabaChoi,warrior,135,299050,450,2025-06-22
LeniLutang,sorcerer,120,172610,130,2025-06-22
CABECINHAS2,arbalist,136,314790,400,2025-06-22
2Pet1BookFr,taoist,152,388453,3900,2025-06-22
WP Paka,taoist,153,400665,3700,2025-06-22
4,lancer,91,144116,55,2025-06-22
Axxiss,darkist,137,303841,492,2025-06-22
VeNoM,arbalist,139,296465,450,2025-06-22
LdStone10,arbalist,144,351443,1055,2025-06-22
RalinHabey,arbalist,148,351345,1255,2025-06-22
Potiretamma,sorcerer,120,186575,89,2025-06-22
Anayru,arbalist,143,318358,520,2025-06-22
MagaNturna,arbalist,144,367861,1390,2025-06-22
Guinsoo,darkist,145,304501,585,2025-06-22
LU,taoist,144,334668,900,2025-06-22
Intriix,arbalist,141,344869,850,2025-06-22
V i n j u,taoist,133,317102,540,2025-06-22
I NAIARA I,taoist,101,162327,70,2025-06-22
SlayerDMLG,sorcerer,141,312794,450,2025-06-22
KING,lancer,133,276256,329,2025-06-22
RACA,taoist,150,387577,3100,2025-06-22
name,arbalist,142,321657,430,2025-06-22
XPinikpikanX,arbalist,143,327207,480,2025-06-22
Jc YvLLe,lancer,160,474604,12500,2025-06-22
BufBlin10WP3,sorcerer,151,372486,2500,2025-06-22
4400Eva,taoist,143,372138,1350,2025-06-22
Deepflame,taoist,146,350971,799,2025-06-22
Firstep,arbalist,136,258421,250,2025-06-22
GHOST,arbalist,144,361021,1200,2025-06-22
NoName,arbalist,144,341074,900,2025-06-22
I Apoh I,taoist,132,233325,160,2025-06-22
5LPetMaxPS,lancer,130,250974,175,2025-06-22
SC HarDZiiiN,arbalist,156,432140,4300,2025-06-22
Ouch,warrior,143,344091,1250,2025-06-22
ait,sorcerer,146,332443,630,2025-06-22
Jelly,taoist,145,348450,1100,2025-06-22
DevlLs,arbalist,158,442426,7200,2025-06-22
ENjMA,arbalist,142,321243,585,2025-06-22
SakamotOKEN,lancer,134,314488,400,2025-06-22
foxlist,darkist,94,152532,75,2025-06-22
name,darkist,95,150341,75,2025-06-22
NALAN,warrior,153,389897,3666,2025-06-22
TRADERINGat0,arbalist,136,276324,250,2025-06-22
DocDenz,arbalist,141,296118,299,2025-06-22
reiBaggio,sorcerer,143,325609,399,2025-06-22
AkiraLoves,lancer,130,249151,150,2025-06-22
DONVRGAS,warrior,135,280188,210,2025-06-22
Uai,taoist,139,339064,1000,2025-06-22
MsHannah01,sorcerer,110,138663,42,2025-06-22
Aquininha,sorcerer,101,155240,59,2025-06-22
nikoJR00,sorcerer,105,152181,40,2025-06-22
Amy,sorcerer,151,361778,1400,2025-06-22
Atreus,arbalist,142,327123,510,2025-06-22
ICEBUFF10HGC,sorcerer,143,350243,1833,2025-06-22
Carioca,warrior,145,335133,811,2025-06-22
37CriEvaDck3,taoist,132,281926,260,2025-06-22
chipka,arbalist,142,314557,1190,2025-06-22
Rockafella,arbalist,141,337061,950,2025-06-22
Sapo Renatao,warrior,151,383088,2200,2025-06-22
ZaiHongse,arbalist,141,315088,595,2025-06-22
TabaChoi,warrior,135,299050,450,2025-06-22
LeniLutang,sorcerer,120,172610,130,2025-06-22
CABECINHAS2,arbalist,136,314790,400,2025-06-22
2Pet1BookFr,taoist,152,388453,3900,2025-06-22
WP Paka,taoist,153,400665,3700,2025-06-22
4,lancer,91,144116,55,2025-06-22
Axxiss,darkist,137,303841,492,2025-06-22
VeNoM,arbalist,139,296465,450,2025-06-22
LdStone10,arbalist,144,351443,1055,2025-06-22
RalinHabey,arbalist,148,351345,1255,2025-06-22
Potiretamma,sorcerer,120,186575,89,2025-06-22
Anayru,arbalist,143,318358,520,2025-06-22
MagaNturna,arbalist,144,367861,1390,2025-06-22
Guinsoo,darkist,145,304501,585,2025-06-22
LU,taoist,144,334668,900,2025-06-22
Intriix,arbalist,141,344869,850,2025-06-22
V i n j u,taoist,133,317102,540,2025-06-22
I NAIARA I,taoist,101,162327,70,2025-06-22
SlayerDMLG,sorcerer,141,312794,450,2025-06-22
KING,lancer,133,276256,329,2025-06-22
RACA,taoist,150,387577,3100,2025-06-22
name,arbalist,142,321657,430,2025-06-22
XPinikpikanX,arbalist,143,327207,480,2025-06-22
Jc YvLLe,lancer,160,474604,12500,2025-06-22
BufBlin10WP3,sorcerer,151,372486,2500,2025-06-22
4400Eva,taoist,143,372138,1350,2025-06-22
Deepflame,taoist,146,350971,799,2025-06-22
Firstep,arbalist,136,258421,250,2025-06-22
GHOST,arbalist,144,361021,1200,2025-06-22
NoName,arbalist,144,341074,900,2025-06-22
I Apoh I,taoist,132,233325,160,2025-06-22
5LPetMaxPS,lancer,130,250974,175,2025-06-22
SC HarDZiiiN,arbalist,156,432140,4300,2025-06-22
Ouch,warrior,143,344091,1250,2025-06-22
ait,sorcerer,146,332443,630,2025-06-22
Jelly,taoist,145,348450,1100,2025-06-22
DevlLs,arbalist,158,442426,7200,2025-06-22
ENjMA,arbalist,142,321243,585,2025-06-22
SakamotOKEN,lancer,134,314488,400,2025-06-22
foxlist,darkist,94,152532,75,2025-06-22
name,darkist,95,150341,75,2025-06-22
NALAN,warrior,153,389897,3666,2025-06-22
TRADERINGat0,arbalist,136,276324,250,2025-06-22
DocDenz,arbalist,141,296118,299,2025-06-22
reiBaggio,sorcerer,143,325609,399,2025-06-22
AkiraLoves,lancer,130,249151,150,2025-06-22
DONVRGAS,warrior,135,280188,210,2025-06-22
Uai,taoist,139,339064,1000,2025-06-22
MsHannah01,sorcerer,110,138663,42,2025-06-22
Aquininha,sorcerer,101,155240,59,2025-06-22
nikoJR00,sorcerer,105,152181,40,2025-06-22
Amy,sorcerer,151,361778,1400,2025-06-22
Atreus,arbalist,142,327123,510,2025-06-22
ICEBUFF10HGC,sorcerer,143,350243,1833,2025-06-22
Carioca,warrior,145,335133,811,2025-06-22
37CriEvaDck3,taoist,132,281926,260,2025-06-22
chipka,arbalist,142,314557,1190,2025-06-22
Rockafella,arbalist,141,337061,950,2025-06-22
Sapo Renatao,warrior,151,383088,2200,2025-06-22
ZaiHongse,arbalist,141,315088,595,2025-06-22
TabaChoi,warrior,135,299050,450,2025-06-22
LeniLutang,sorcerer,120,172610,130,2025-06-22
CABECINHAS2,arbalist,136,314790,400,2025-06-22
2Pet1BookFr,taoist,152,388453,3900,2025-06-22
WP Paka,taoist,153,400665,3700,2025-06-22
4,lancer,91,144116,55,2025-06-22
Axxiss,darkist,137,303841,492,2025-06-22
VeNoM,arbalist,139,296465,450,2025-06-22
LdStone10,arbalist,144,351443,1055,2025-06-22
RalinHabey,arbalist,148,351345,1255,2025-06-22
Potiretamma,sorcerer,120,186575,89,2025-06-22
Anayru,arbalist,143,318358,520,2025-06-22
MagaNturna,arbalist,144,367861,1390,2025-06-22
Guinsoo,darkist,145,304501,585,2025-06-22
LU,taoist,144,334668,900,2025-06-22
Intriix,arbalist,141,344869,850,2025-06-22
V i n j u,taoist,133,317102,540,2025-06-22
I NAIARA I,taoist,101,162327,70,2025-06-22
SlayerDMLG,sorcerer,141,312794,450,2025-06-22
KING,lancer,133,276256,329,2025-06-22
RACA,taoist,150,387577,3100,2025-06-22
name,arbalist,142,321657,430,2025-06-22
XPinikpikanX,arbalist,143,327207,480,2025-06-22
Jc YvLLe,lancer,160,474604,12500,2025-06-22
BufBlin10WP3,sorcerer,151,372486,2500,2025-06-22
4400Eva,taoist,143,372138,1350,2025-06-22
Deepflame,taoist,146,350971,799,2025-06-22
Firstep,arbalist,136,258421,250,2025-06-22
LdStone10,arbalist,144,351443,1055,2025-06-22
RalinHabey,arbalist,148,351345,1255,2025-06-22
Potiretamma,sorcerer,120,186575,89,2025-06-22
Anayru,arbalist,143,318358,520,2025-06-22
MagaNturna,arbalist,144,367861,1390,2025-06-22
Guinsoo,darkist,145,304501,585,2025-06-22
LU,taoist,144,334668,900,2025-06-22
Intriix,arbalist,141,344869,850,2025-06-22
V i n j u,taoist,133,317102,540,2025-06-22
I NAIARA I,taoist,101,162327,70,2025-06-22
SlayerDMLG,sorcerer,141,312794,450,2025-06-22
KING,lancer,133,276256,329,2025-06-22
RACA,taoist,150,387577,3100,2025-06-22
name,arbalist,142,321657,430,2025-06-22
XPinikpikanX,arbalist,143,327207,480,2025-06-22
Jc YvLLe,lancer,160,474604,12500,2025-06-22
BufBlin10WP3,sorcerer,151,372486,2500,2025-06-22
4400Eva,taoist,143,372138,1350,2025-06-22
Deepflame,taoist,146,350971,799,2025-06-22
Firstep,arbalist,136,258421,250,2025-06-22
MsHannah01,sorcerer,110,138663,42,2025-06-22
Aquininha,sorcerer,101,155240,59,2025-06-22
nikoJR00,sorcerer,105,152181,40,2025-06-22
Amy,sorcerer,151,361778,1400,2025-06-22
Atreus,arbalist,142,327123,510,2025-06-22
ICEBUFF10HGC,sorcerer,143,350243,1833,2025-06-22
Carioca,warrior,145,335133,811,2025-06-22
37CriEvaDck3,taoist,132,281926,260,2025-06-22
chipka,arbalist,142,314557,1190,2025-06-22
Rockafella,arbalist,141,337061,950,2025-06-22
Sapo Renatao,warrior,151,383088,2200,2025-06-22
ZaiHongse,arbalist,141,315088,595,2025-06-22
TabaChoi,warrior,135,299050,450,2025-06-22
LeniLutang,sorcerer,120,172610,130,2025-06-22
CABECINHAS2,arbalist,136,314790,400,2025-06-22
2Pet1BookFr,taoist,152,388453,3900,2025-06-22
WP Paka,taoist,153,400665,3700,2025-06-22
4,lancer,91,144116,55,2025-06-22
Axxiss,darkist,137,303841,492,2025-06-22
VeNoM,arbalist,139,296465,450,2025-06-22
LdStone10,arbalist,144,351443,1055,2025-06-22
RalinHabey,arbalist,148,351345,1255,2025-06-22
Potiretamma,sorcerer,120,186575,89,2025-06-22
Anayru,arbalist,143,318358,520,2025-06-22
MagaNturna,arbalist,144,367861,1390,2025-06-22
Guinsoo,darkist,145,304501,585,2025-06-22
LU,taoist,144,334668,900,2025-06-22
Intriix,arbalist,141,344869,850,2025-06-22
V i n j u,taoist,133,317102,540,2025-06-22
I NAIARA I,taoist,101,162327,70,2025-06-22
SlayerDMLG,sorcerer,141,312794,450,2025-06-22
KING,lancer,133,276256,329,2025-06-22
RACA,taoist,150,387577,3100,2025-06-22
name,arbalist,142,321657,430,2025-06-22
XPinikpikanX,arbalist,143,327207,480,2025-06-22
Jc YvLLe,lancer,160,474604,12500,2025-06-22
BufBlin10WP3,sorcerer,151,372486,2500,2025-06-22
4400Eva,taoist,143,372138,1350,2025-06-22
Deepflame,taoist,146,350971,799,2025-06-22
Firstep,arbalist,136,258421,250,2025-06-22
MsHannah01,sorcerer,110,138663,42,2025-06-22
Aquininha,sorcerer,101,155240,59,2025-06-22
nikoJR00,sorcerer,105,152181,40,2025-06-22
Amy,sorcerer,151,361778,1400,2025-06-22
Atreus,arbalist,142,327123,510,2025-06-22
ICEBUFF10HGC,sorcerer,143,350243,1833,2025-06-22
Carioca,warrior,145,335133,811,2025-06-22
37CriEvaDck3,taoist,132,281926,260,2025-06-22
chipka,arbalist,142,314557,1190,2025-06-22
Rockafella,arbalist,141,337061,950,2025-06-22
Sapo Renatao,warrior,151,383088,2200,2025-06-22
ZaiHongse,arbalist,141,315088,595,2025-06-22
TabaChoi,warrior,135,299050,450,2025-06-22
LeniLutang,sorcerer,120,172610,130,2025-06-22
CABECINHAS2,arbalist,136,314790,400,2025-06-22
2Pet1BookFr,taoist,152,388453,3900,2025-06-22
WP Paka,taoist,153,400665,3700,2025-06-22
4,lancer,91,144116,55,2025-06-22
Axxiss,darkist,137,303841,492,2025-06-22
VeNoM,arbalist,139,296465,450,2025-06-22
LdStone10,arbalist,144,351443,1055,2025-06-22
RalinHabey,arbalist,148,351345,1255,2025-06-22
Potiretamma,sorcerer,120,186575,89,2025-06-22
Anayru,arbalist,143,318358,520,2025-06-22
MagaNturna,arbalist,144,367861,1390,2025-06-22
Guinsoo,darkist,145,304501,585,2025-06-22
LU,taoist,144,334668,900,2025-06-22
Intriix,arbalist,141,344869,850,2025-06-22
V i n j u,taoist,133,317102,540,2025-06-22
I NAIARA I,taoist,101,162327,70,2025-06-22
SlayerDMLG,sorcerer,141,312794,450,2025-06-22
KING,lancer,133,276256,329,2025-06-22
RACA,taoist,150,387577,3100,2025-06-22
name,arbalist,142,321657,430,2025-06-22
XPinikpikanX,arbalist,143,327207,480,2025-06-22
Jc YvLLe,lancer,160,474604,12500,2025-06-22
BufBlin10WP3,sorcerer,151,372486,2500,2025-06-22
4400Eva,taoist,143,372138,1350,2025-06-22
Deepflame,taoist,146,350971,799,2025-06-22
Firstep,arbalist,136,258421,250,2025-06-22
MsHannah01,sorcerer,110,138663,42,2025-06-22
Aquininha,sorcerer,101,155240,59,2025-06-22
nikoJR00,sorcerer,105,152181,40,2025-06-22
Amy,sorcerer,151,361778,1400,2025-06-22
Atreus,arbalist,142,327123,510,2025-06-22
ICEBUFF10HGC,sorcerer,143,350243,1833,2025-06-22
Carioca,warrior,145,335133,811,2025-06-22
37CriEvaDck3,taoist,132,281926,260,2025-06-22
chipka,arbalist,142,314557,1190,2025-06-22
Rockafella,arbalist,141,337061,950,2025-06-22
Sapo Renatao,warrior,151,383088,2200,2025-06-22
ZaiHongse,arbalist,141,315088,595,2025-06-22
TabaChoi,warrior,135,299050,450,2025-06-22
LeniLutang,sorcerer,120,172610,130,2025-06-22
CABECINHAS2,arbalist,136,314790,400,2025-06-22
2Pet1BookFr,taoist,152,388453,3900,2025-06-22
WP Paka,taoist,153,400665,3700,2025-06-22
4,lancer,91,144116,55,2025-06-22
Axxiss,darkist,137,303841,492,2025-06-22
VeNoM,arbalist,139,296465,450,2025-06-22
LdStone10,arbalist,144,351443,1055,2025-06-22
RalinHabey,arbalist,148,351345,1255,2025-06-22
Potiretamma,sorcerer,120,186575,89,2025-06-22
Anayru,arbalist,143,318358,520,2025-06-22
MagaNturna,arbalist,144,367861,1390,2025-06-22
Guinsoo,darkist,145,304501,585,2025-06-22
LU,taoist,144,334668,900,2025-06-22
Intriix,arbalist,141,344869,850,2025-06-22
V i n j u,taoist,133,317102,540,2025-06-22
I NAIARA I,taoist,101,162327,70,2025-06-22
SlayerDMLG,sorcerer,141,312794,450,2025-06-22
KING,lancer,133,276256,329,2025-06-22
RACA,taoist,150,387577,3100,2025-06-22
name,arbalist,142,321657,430,2025-06-22
XPinikpikanX,arbalist,143,327207,480,2025-06-22
Jc YvLLe,lancer,160,474604,12500,2025-06-22
BufBlin10WP3,sorcerer,151,372486,2500,2025-06-22
4400Eva,taoist,143,372138,1350,2025-06-22
Deepflame,taoist,146,350971,799,2025-06-22
Firstep,arbalist,136,258421,250,2025-06-22
MsHannah01,sorcerer,110,138663,42,2025-06-22
Aquininha,sorcerer,101,155240,59,2025-06-22
nikoJR00,sorcerer,105,152181,40,2025-06-22
Amy,sorcerer,151,361778,1400,2025-06-22
Atreus,arbalist,142,327123,510,2025-06-22
ICEBUFF10HGC,sorcerer,143,350243,1833,2025-06-22
Carioca,warrior,145,335133,811,2025-06-22
37CriEvaDck3,taoist,132,281926,260,2025-06-22
chipka,arbalist,142,314557,1190,2025-06-22
Rockafella,arbalist,141,337061,950,2025-06-22
Sapo Renatao,warrior,151,383088,2200,2025-06-22
ZaiHongse,arbalist,141,315088,595,2025-06-22
TabaChoi,warrior,135,299050,450,2025-06-22
LeniLutang,sorcerer,120,172610,130,2025-06-22
CABECINHAS2,arbalist,136,314790,400,2025-06-22
2Pet1BookFr,taoist,152,388453,3900,2025-06-22
WP Paka,taoist,153,400665,3700,2025-06-22
4,lancer,91,144116,55,2025-06-22
Axxiss,darkist,137,303841,492,2025-06-22
VeNoM,arbalist,139,296465,450,2025-06-22
MsHannah01,sorcerer,110,138663,42,2025-06-22
Aquininha,sorcerer,101,155240,59,2025-06-22
nikoJR00,sorcerer,105,152181,40,2025-06-22
Amy,sorcerer,151,361778,1400,2025-06-22
Atreus,arbalist,142,327123,510,2025-06-22
ICEBUFF10HGC,sorcerer,143,350243,1833,2025-06-22
Carioca,warrior,145,335133,811,2025-06-22
37CriEvaDck3,taoist,132,281926,260,2025-06-22
chipka,arbalist,142,314557,1190,2025-06-22
Rockafella,arbalist,141,337061,950,2025-06-22
Sapo Renatao,warrior,151,383088,2200,2025-06-22
ZaiHongse,arbalist,141,315088,595,2025-06-22
TabaChoi,warrior,135,299050,450,2025-06-22
LeniLutang,sorcerer,120,172610,130,2025-06-22
CABECINHAS2,arbalist,136,314790,400,2025-06-22
2Pet1BookFr,taoist,152,388453,3900,2025-06-22
WP Paka,taoist,153,400665,3700,2025-06-22
4,lancer,91,144116,55,2025-06-22
Axxiss,darkist,137,303841,492,2025-06-22
VeNoM,arbalist,139,296465,450,2025-06-22
MsHannah01,sorcerer,110,138663,42,2025-06-22
Aquininha,sorcerer,101,155240,59,2025-06-22
nikoJR00,sorcerer,105,152181,40,2025-06-22
Amy,sorcerer,151,361778,1400,2025-06-22
Atreus,arbalist,142,327123,510,2025-06-22
